"age","workclass","fnlwgt","education","educationnum","maritalstatus","occupation","relationship","race","sex","capitalgain","capitalloss","hoursperweek","nativecountry","income","native.country"
25," Private",159732," Some-college",10," Never-married"," Adm-clerical"," Not-in-family"," White"," Male",0,0,42," United-States"," <=50K"," United-States"
41," Private",180138," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," Iran"," >50K"," Iran"
23," Private",115458," HS-grad",9," Never-married"," Transport-moving"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
41," Self-emp-not-inc",196001," HS-grad",9," Married-civ-spouse"," Other-service"," Wife"," White"," Female",0,0,20," United-States"," <=50K"," United-States"
20," ?",119156," Some-college",10," Never-married"," ?"," Own-child"," White"," Male",0,0,20," United-States"," <=50K"," United-States"
38," Private",179488," Some-college",10," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,1741,40," United-States"," <=50K"," United-States"
32," Private",183916," HS-grad",9," Never-married"," Other-service"," Not-in-family"," White"," Female",0,0,34," United-States"," <=50K"," United-States"
45," Private",153141," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," ?"," <=50K"," ?"
41," Private",112763," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,40," United-States"," >50K"," United-States"
59," Local-gov",171328," 10th",6," Widowed"," Other-service"," Unmarried"," Black"," Female",0,0,30," United-States"," <=50K"," United-States"
42," Self-emp-not-inc",303044," HS-grad",9," Married-civ-spouse"," Farming-fishing"," Husband"," Asian-Pac-Islander"," Male",0,0,40," Cambodia"," >50K"," Cambodia"
45," Private",187666," Assoc-voc",11," Widowed"," Exec-managerial"," Not-in-family"," White"," Female",0,0,45," United-States"," <=50K"," United-States"
50," Private",204518," 7th-8th",4," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
45," Private",98092," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,60," United-States"," <=50K"," United-States"
17," Private",245918," 11th",7," Never-married"," Other-service"," Own-child"," White"," Male",0,0,12," United-States"," <=50K"," United-States"
37," Self-emp-inc",257295," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," Asian-Pac-Islander"," Male",0,0,75," Thailand"," >50K"," Thailand"
33," Private",222205," HS-grad",9," Married-civ-spouse"," Craft-repair"," Wife"," White"," Female",0,0,40," United-States"," >50K"," United-States"
44," Private",170924," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",7298,0,40," United-States"," >50K"," United-States"
25," Private",193787," Some-college",10," Never-married"," Tech-support"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
24," Private",279472," Some-college",10," Married-civ-spouse"," Machine-op-inspct"," Wife"," White"," Female",7298,0,48," United-States"," >50K"," United-States"
42," Local-gov",97688," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",5178,0,40," United-States"," >50K"," United-States"
34," Private",175413," Assoc-acdm",12," Divorced"," Sales"," Unmarried"," Black"," Female",0,0,45," United-States"," <=50K"," United-States"
60," Private",173960," Bachelors",13," Divorced"," Prof-specialty"," Not-in-family"," White"," Female",0,0,42," United-States"," <=50K"," United-States"
41," Private",220531," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,60," United-States"," >50K"," United-States"
50," Private",176609," Some-college",10," Divorced"," Other-service"," Not-in-family"," White"," Male",0,0,45," United-States"," <=50K"," United-States"
24," Private",278130," HS-grad",9," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
38," Private",169469," HS-grad",9," Divorced"," Sales"," Not-in-family"," White"," Male",0,0,80," United-States"," <=50K"," United-States"
48," Private",146268," Bachelors",13," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",7688,0,40," United-States"," >50K"," United-States"
21," Private",153718," Some-college",10," Never-married"," Other-service"," Not-in-family"," Asian-Pac-Islander"," Female",0,0,25," United-States"," <=50K"," United-States"
31," Private",217460," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,45," United-States"," >50K"," United-States"
55," Private",238638," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",4386,0,40," United-States"," >50K"," United-States"
35," Private",193815," Assoc-acdm",12," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States"," >50K"," United-States"
22," Private",199698," Some-college",10," Never-married"," Sales"," Own-child"," White"," Male",0,0,15," United-States"," <=50K"," United-States"
22," Private",399087," 5th-6th",3," Married-civ-spouse"," Machine-op-inspct"," Other-relative"," White"," Female",0,0,40," Mexico"," <=50K"," Mexico"
62," Private",159841," HS-grad",9," Widowed"," Other-service"," Not-in-family"," White"," Female",0,0,24," United-States"," <=50K"," United-States"
39," Self-emp-not-inc",174308," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
63," Self-emp-not-inc",78383," HS-grad",9," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,45," United-States"," <=50K"," United-States"
55," Local-gov",98545," 10th",6," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
17," Private",270942," 5th-6th",3," Never-married"," Other-service"," Other-relative"," White"," Male",0,0,48," Mexico"," <=50K"," Mexico"
33," Private",85043," HS-grad",9," Never-married"," Farming-fishing"," Not-in-family"," White"," Male",0,0,20," United-States"," <=50K"," United-States"
43," Self-emp-not-inc",241895," Bachelors",13," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,42," United-States"," <=50K"," United-States"
67," ?",36135," 11th",7," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,8," United-States"," <=50K"," United-States"
56," Private",101128," Assoc-acdm",12," Married-spouse-absent"," Other-service"," Not-in-family"," White"," Male",0,0,25," Iran"," <=50K"," Iran"
38," Federal-gov",95432," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States"," >50K"," United-States"
40," Private",96129," Assoc-voc",11," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,40," United-States"," >50K"," United-States"
36," Private",348022," 10th",6," Married-civ-spouse"," Other-service"," Wife"," White"," Female",0,0,24," United-States"," <=50K"," United-States"
43," Private",180609," Bachelors",13," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,45," United-States"," <=50K"," United-States"
56," Self-emp-not-inc",183081," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,45," United-States"," <=50K"," United-States"
26," Federal-gov",185885," Some-college",10," Never-married"," Adm-clerical"," Unmarried"," White"," Female",0,0,15," United-States"," <=50K"," United-States"
17," Private",89821," 11th",7," Never-married"," Other-service"," Own-child"," White"," Male",0,0,10," United-States"," <=50K"," United-States"
44," Private",160323," HS-grad",9," Never-married"," Craft-repair"," Not-in-family"," Black"," Male",0,0,40," United-States"," <=50K"," United-States"
54," Private",174319," HS-grad",9," Divorced"," Transport-moving"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
19," Private",25429," Some-college",10," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,16," United-States"," <=50K"," United-States"
27," Private",301302," Bachelors",13," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,0,50," United-States"," <=50K"," United-States"
34," Private",196164," HS-grad",9," Never-married"," Other-service"," Not-in-family"," White"," Female",0,0,35," United-States"," <=50K"," United-States"
44," Private",115562," Some-college",10," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
45," Private",96975," Some-college",10," Divorced"," Handlers-cleaners"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
25," Private",86872," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,55," United-States"," >50K"," United-States"
20," Private",416103," Some-college",10," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
28," Private",166481," 7th-8th",4," Married-civ-spouse"," Handlers-cleaners"," Husband"," Other"," Male",0,2179,40," Puerto-Rico"," <=50K"," Puerto-Rico"
33," Private",118500," Some-college",10," Divorced"," Exec-managerial"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
46," Private",188386," Doctorate",16," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",15024,0,60," United-States"," >50K"," United-States"
35," Private",92440," 12th",8," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,50," United-States"," >50K"," United-States"
30," Private",426017," 11th",7," Never-married"," Other-service"," Own-child"," White"," Female",0,0,19," United-States"," <=50K"," United-States"
17," Private",175024," 11th",7," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",2176,0,18," United-States"," <=50K"," United-States"
23," Private",204653," HS-grad",9," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,72," Dominican-Republic"," <=50K"," Dominican-Republic"
47," Local-gov",287480," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
34," Local-gov",117018," Some-college",10," Never-married"," Protective-serv"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
45," Private",45857," HS-grad",9," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",0,0,28," United-States"," <=50K"," United-States"
24," Federal-gov",191073," HS-grad",9," Never-married"," Armed-Forces"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
44," Private",116632," Some-college",10," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," >50K"," United-States"
27," Private",405855," 9th",5," Never-married"," Craft-repair"," Other-relative"," White"," Male",0,0,40," Mexico"," <=50K"," Mexico"
20," Private",146538," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
44," Self-emp-not-inc",234885," HS-grad",9," Married-civ-spouse"," Sales"," Wife"," White"," Female",0,0,40," United-States"," >50K"," United-States"
23," Private",54012," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,60," United-States"," <=50K"," United-States"
32," ?",115745," Some-college",10," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
37," Private",126708," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,60," United-States"," <=50K"," United-States"
35," Private",285020," HS-grad",9," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
22," Private",281432," Some-college",10," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,30," United-States"," <=50K"," United-States"
28," State-gov",70100," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,20," United-States"," <=50K"," United-States"
25," Private",189775," Some-college",10," Married-spouse-absent"," Adm-clerical"," Own-child"," Black"," Female",0,0,20," United-States"," <=50K"," United-States"
23," Local-gov",324960," HS-grad",9," Never-married"," Farming-fishing"," Not-in-family"," White"," Male",0,0,40," Poland"," <=50K"," Poland"
62," Local-gov",114060," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
52," Private",48925," Some-college",10," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
19," Private",249609," Some-college",10," Never-married"," Protective-serv"," Own-child"," White"," Male",0,0,8," United-States"," <=50K"," United-States"
53," ?",251804," 5th-6th",3," Widowed"," ?"," Unmarried"," Black"," Female",0,0,30," United-States"," <=50K"," United-States"
25," Private",267044," Some-college",10," Never-married"," Adm-clerical"," Not-in-family"," Amer-Indian-Eskimo"," Female",0,0,20," United-States"," <=50K"," United-States"
20," ?",214635," Some-college",10," Never-married"," ?"," Own-child"," White"," Male",0,0,24," United-States"," <=50K"," United-States"
21," ?",204226," Some-college",10," Never-married"," ?"," Unmarried"," White"," Female",0,0,35," United-States"," <=50K"," United-States"
42," Private",221172," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," >50K"," United-States"
44," Self-emp-not-inc",202692," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
44," Private",109339," 11th",7," Divorced"," Machine-op-inspct"," Unmarried"," Other"," Female",0,0,46," Puerto-Rico"," <=50K"," Puerto-Rico"
26," Private",108658," HS-grad",9," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
41," Private",101739," Assoc-acdm",12," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,50," United-States"," >50K"," United-States"
67," Private",231559," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",20051,0,48," United-States"," >50K"," United-States"
39," Local-gov",207853," 12th",8," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,50," United-States"," <=50K"," United-States"
29," Private",133937," Doctorate",16," Never-married"," Prof-specialty"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
27," Private",163862," HS-grad",9," Never-married"," Transport-moving"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
58," Private",51662," 10th",6," Married-civ-spouse"," Other-service"," Wife"," White"," Female",0,0,8," United-States"," <=50K"," United-States"
35," Local-gov",233327," Some-college",10," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
69," Private",136218," 11th",7," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"," United-States"
28," Private",114053," Bachelors",13," Never-married"," Transport-moving"," Not-in-family"," White"," Male",0,0,55," United-States"," <=50K"," United-States"
47," Private",264052," Some-college",10," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States"," >50K"," United-States"
20," Private",27337," HS-grad",9," Never-married"," Handlers-cleaners"," Own-child"," Amer-Indian-Eskimo"," Male",0,0,48," United-States"," <=50K"," United-States"
45," Private",433665," 7th-8th",4," Separated"," Other-service"," Unmarried"," White"," Female",0,0,40," Mexico"," <=50K"," Mexico"
29," Self-emp-not-inc",110663," HS-grad",9," Separated"," Craft-repair"," Not-in-family"," White"," Male",0,0,35," United-States"," <=50K"," United-States"
27," Private",158156," Doctorate",16," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,70," United-States"," <=50K"," United-States"
29," Private",350162," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Male",0,0,40," United-States"," >50K"," United-States"
21," Private",197747," Some-college",10," Never-married"," Sales"," Own-child"," White"," Female",0,0,24," United-States"," <=50K"," United-States"
29," Private",34292," Some-college",10," Never-married"," Adm-clerical"," Not-in-family"," White"," Male",0,0,60," United-States"," <=50K"," United-States"
18," Private",156764," 11th",7," Never-married"," Other-service"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
57," Self-emp-inc",103948," Bachelors",13," Divorced"," Prof-specialty"," Not-in-family"," White"," Male",0,0,80," United-States"," <=50K"," United-States"
27," Private",267147," HS-grad",9," Never-married"," Sales"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
42," Self-emp-not-inc",214242," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,1902,50," United-States"," >50K"," United-States"
25," Private",200408," Some-college",10," Never-married"," Tech-support"," Not-in-family"," White"," Male",2174,0,40," United-States"," <=50K"," United-States"
19," Private",217039," Some-college",10," Never-married"," Adm-clerical"," Own-child"," White"," Male",0,0,28," United-States"," <=50K"," United-States"
42," Local-gov",175674," 9th",5," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
35," Self-emp-not-inc",194404," Assoc-acdm",12," Never-married"," Farming-fishing"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
27," Private",109881," Bachelors",13," Never-married"," Other-service"," Own-child"," White"," Female",0,0,20," United-States"," <=50K"," United-States"
50," Self-emp-not-inc",114117," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,32," United-States"," <=50K"," United-States"
46," Private",102388," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",15024,0,45," United-States"," >50K"," United-States"
34," Private",153614," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,45," United-States"," >50K"," United-States"
58," Self-emp-not-inc",35723," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,60," United-States"," <=50K"," United-States"
60," Private",199378," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
31," Private",55849," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,45," United-States"," <=50K"," United-States"
30," State-gov",169496," Bachelors",13," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,40," United-States"," >50K"," United-States"
35," Private",292472," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Husband"," Asian-Pac-Islander"," Male",0,0,40," Taiwan"," >50K"," Taiwan"
38," State-gov",143774," Some-college",10," Separated"," Exec-managerial"," Not-in-family"," White"," Female",0,0,45," United-States"," <=50K"," United-States"
27," Private",111900," Some-college",10," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"," United-States"
42," Private",341204," Assoc-acdm",12," Divorced"," Prof-specialty"," Unmarried"," White"," Female",8614,0,40," United-States"," >50K"," United-States"
20," ?",114746," 11th",7," Married-spouse-absent"," ?"," Own-child"," Asian-Pac-Islander"," Female",0,1762,40," South"," <=50K"," South"
24," Private",172146," 9th",5," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Male",0,1721,40," United-States"," <=50K"," United-States"
50," Self-emp-inc",219420," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,50," United-States"," >50K"," United-States"
